"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"107.","1438","Ваљево","Мачвански управни округ","Коцељева","Коцељева","Средња школа","Доситејева број 1","15220","sredskolkoc@mts.rs","(015)556395","http://sskoceljeva.rs","7293500","101399281","1980-01-29","Средње стручне школе","Државно","18","0","0","416","196","0","2","0","45","36.113300","59","50.153300"
"108.","1439","Ваљево","Мачвански управни округ","Владимирци","Владимирци","Посавотамнавска средња школа","Светог саве бб","15225","posavotamnavska@gmail.com","(015)514837","http://www.scvladimirci.org","7283199","101403842","1979-02-20","Средње стручне школе","Државно","19","0","0","498","207","0","4","0","52","39.334900","68","54.534900"
"109.","1440","Ваљево","Мачвански управни округ","Мали Зворник","Мали Зворник","Средња школа Мали Зворник","Краља Петра првог 12","15318","sskolamz@gmail.com","(062)887041","http://srednjaskolamz.edu.rs","7306709","101361633","1981-04-07","Средње стручне школе","Државно","12","0","0","271","184","0","2","0","38","21.750000","48","31.900000"
"110.","1441","Крушевац","Расински управни округ","Александровац","Александровац","Средња школа Свети Трифун са домом ученика","Крушевачка 8-10","37230","pts_s_trifun@mts.rs","37751117","http://www.svetitrifun.edu.rs","7154178","100387363","0000-00-00","Средње стручне школе","Државно","26","0","0","621","311","8","2","0","67","55.150000","102","94.680000"
"111.","1442","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Гимназија","Топличина 1","37000","gimnazijaks@gmail.com","(037)427208","http://gimnazija.org.rs","7102968","100314207","1990-12-31","Гимназије","Државно","41","0","0","1109","685","1","3","0","99","81.412400","120","103.912400"
"112.","1443","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Економско-трговинска школа","Чеховљева 1","37000","ekotrg@ptt.rs","(037)492658","http://ekonomskaks.edu.rs","7352689","100480614","1939-05-21","Средње стручне школе","Државно","31","0","0","860","556","2","14","0","80","61.535000","98","81.635000"
"113.","1444","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Медицинска школа","Ћирила и Методија 22","37000","medicinskaskolakrusevac@gmail.com","(037)440319","http://www.medicinska.edu.rs","7611692","100320711","1990-12-31","Средње стручне школе","Државно","20","0","0","604","442","0","0","0","72","51.570000","82","64.070000"
"114.","1445","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Политехничка школа Милутин Миланковић","Чеховљева 1","37000","office@politehnicka-skola.edu.rs","(037)492657","http://politehnicka-skola.edu.rs","7352719","100480622","1991-04-01","Средње стручне школе","Државно","30","0","0","722","419","2","13","0","95","70.936400","116","89.836400"
"115.","1446","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Економска школа 9. Мај","Ђуре Даничића 2","22000","ekonomskasm@mts.rs","(022)615320","http://www.es.edu.rs","8015791","100797905","1959-09-01","Средње стручне школе","Државно","21","0","0","617","368","0","3","0","56","45.190000","72","62.690000"
"116.","1447","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Медицинска школа Драгиња Никшић","Јупитерова 26","22000","med.sm@mts.rs","(022)625525","http://www.medicinskasm.edu.rs","8195269","100800397","1959-03-19","Средње стручне школе","Државно","23","0","0","691","517","0","0","0","85","59.024900","101","77.524900"
"117.","1448","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Прехрамбено-шумарска и хемијска школа","Змај Јовина 3","22000","sekretarpsh@gmail.com","(022)622352","http://www.psh-skola.edu.rs","8112622","100800428","1993-09-30","Средње стручне школе","Државно","15","0","0","323","143","4","0","0","58","42.417700","83","67.917700"
"118.","1449","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Средња техничка школа Никола Тесла","Змај Јовина 29","22000","nikolateslasts@yahoo.com","(022)639167","http://nikolateslasm.edu.rs","8061173","100799099","1961-04-22","Средње стручне школе","Државно","26","0","0","758","101","2","0","0","63","56.290000","83","76.790000"
"119.","1451","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Гимназија Бранко Радичевић","Светосавска 5","22300","stapgim@ptt.rs","(022)310271","http://stapgim.edu.rs","8228426","100535524","1990-05-10","Гимназије","Државно","16","0","0","458","294","0","0","0","42","32.050000","54","43.050000"
"120.","1452","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Економско-трговинска школа Вук Караџић","Светосавска 5","22300","sekretar@etsvuk.rs","(022)310799","http://etsvuk.rs","8170649","100535516","1956-09-01","Средње стручне школе","Државно","19","0","0","536","400","1","5","0","51","38.750000","59","48.250000"
"121.","1453","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Техничка школа","Светосавска 5","22300","tskola@mts.rs","(022)310641","http://www.tehnickapazova.edu.rs","8170622","100535508","1946-09-01","Средње стручне школе","Државно","22","0","0","593","101","0","3","0","49","44.460000","61","57.455300"
"122.","1454","Нови Сад","Сремски управни округ","Шид","Шид","Гимназија Сава Шумановић","Лазе Костића 2","22240","gimsid@neobee.net","(022)2712529","http://www.gimnazijasid.znanje.info","8215618","100929329","1951-09-01","Средње стручне школе","Државно","12","0","0","300","198","0","0","0","41","29.700000","52","40.700000"
"123.","1455","Нови Сад","Сремски управни округ","Шид","Шид","Техничка школа Никола Тесла","Школска 1","22240","info@nts.edu.rs","(022)712503","http://www.nts.edu.rs","8017263","101417190","0000-00-00","Средње стручне школе","Државно","14","0","0","324","77","0","0","0","43","31.090000","57","45.140000"
"124.","1456","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Прва београдска гимназија","Цара Душана 61","11158","uprava@prvabeogim.edu.rs","(011)2629321","http://www.prvabeogim.edu.rs","7003021","100040770","1839-06-18","Гимназије","Државно","37","0","0","1055","609","0","0","0","79","74.422300","102","98.722300"
"125.","1457","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Математичка гимназија","Краљице Наталије 37","11000","mg@mg.edu.rs","(011)2641378","http://www.mg.edu.rs","7003030","100059449","1966-05-17","Гимназије","Државно","24","0","0","500","167","1","0","20","96","62.026500","111","78.526500"
"126.","1458","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Прва економска школа","Цетињска 5-7","11000","direktor@prvaekonomska.edu.rs","(011)3373488","http://www.prvaekonomska.edu.rs","7003005","100279145","1881-05-01","Средње стручне школе","Државно","28","0","0","836","556","1","0","0","62","52.883300","81","72.027700"
"127.","1459","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Трговачка школа","Хиландарска 1","11000","info@trgovackaskola.edu.rs","(011)3225894","http://www.trgovackaskola.edu.rs","7061625","100054599","1843-10-01","Средње стручне школе","Државно","40","0","0","1007","637","0","5","0","92","77.549800","113","101.659800"
"128.","1460","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Правно-пословна школа Београд","Светогорска 48","11003","uprava@pps.rs","(011)3242062","http://www.pps.rs","7079931","101514728","1952-09-01","Средње стручне школе","Државно","24","0","0","739","509","2","2","0","66","51.160000","78","65.660000"
"129.","1461","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Ваздухопловна академија","Булевар Војводе Бојовића 2","11158","direktor@vakademija.edu.rs","(011)2182944","http://www.vakademija.edu.rs","7002998","100122257","1924-09-22","Средње стручне школе","Државно","35","0","0","868","297","0","0","0","85","87.100000","109","115.600000"
"130.","1462","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Електротехничка школа Никола Тесла","Краљице Наталије 31","11000","nikolateslabeograd@gmail.com","(011)2688598","http://www.teslabg.edu.rs","7003048","100052255","1956-08-29","Средње стручне школе","Државно","68","0","0","2025","198","0","0","0","154","158.724100","187","196.724100"
"131.","1463","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Техничка школа ДРВО АРТ","Цара Душана 23","11000","drvoart.direktor@mts.rs","(011)2631361","http://www.drvoart.edu.rs","7003137","101824456","1956-09-06","Средње стручне школе","Државно","23","0","0","516","298","5","5","0","61","55.950000","80","76.070000"
"132.","1464","Београд","Град Београд","Београд - Стари Град","Београд (Стари Град)","Електротехничка школа Стари град","Високог Стевана 37","11000","etsstarigrad@sezampro.rs","2627784","http://www.etsstarigrad.edu.rs","7002980","101514816","1947-06-12","Средње стручне школе","Државно","22","0","0","598","12","0","1","0","57","45.538200","73","62.125900"
"133.","1467","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Филолошка гимназија","Каменичка 2","11000","filoloska_gimnazija@yahoo.com","(011)2621955","http://www.filoloska.edu.rs","7001916","100223140","1870-06-02","Гимназије","Државно","29","0","0","640","549","1","0","0","104","90.825200","118","106.625200"
"134.","1468","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Гимназија Свети Сава","Ресавска 58","11000","direktor@sveti-sava.edu.rs","(011)2658921","http://www.sveti-sava.edu.rs","7001932","102259693","1964-12-24","Гимназије","Државно","31","0","0","907","527","0","0","0","69","61.941000","83","77.979900"
"135.","1469","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Четврта београдска гимназија","Теодора Драјзера 25","11040","cetvrta@eunet.rs","2663652","http://cetvrtagimnazija.edu.rs","7001924","100349768","1962-09-01","Гимназије","Државно","25","0","0","736","442","1","0","0","55","50.232000","68","64.732000"
"136.","1470","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Медицинска школа Београд","Делиградска 31","11000","mskola@eunet.rs","(011)2684544","http://www.medicinskaskola.edu.rs","7083785","100267114","1964-12-24","Средње стручне школе","Државно","55","0","0","1520","1141","2","13","0","151","141.166900","176","169.666900"
"137.","1471","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Зуботехничка школа","Станка Враза 63","11000","ztsbgd@gmail.com","(011)6442913","http://www.zts.edu.rs","17091590","102088368","1947-05-25","Средње стручне школе","Државно","24","0","0","750","554","5","0","0","75","65.874000","96","91.374000"
"138.","1472","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Угоститељско-туристичка школа","Југ Богданова 28","11000","utsbgd@mts.rs","(011)2633250","http://ut-skola.znanje.info","7017405","100267874","1960-12-14","Средње стручне школе","Државно","38","0","0","1116","527","3","25","0","108","96.885000","183","178.331900"
"139.","1473","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Школа за бродарство, бродоградњу и хидроградњу","Милоша Поцерца 2","11000","direktor@brodarska.edu.rs","(011)3620743","http://www.brodarska.edu.rs","7001959","100118404","1946-12-17","Средње стручне школе","Државно","13","0","0","292","41","0","0","0","40","27.204600","53","41.204600"
"140.","1474","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Техничка школа за дизајн коже","Војислава Илића 88","11010","sekretar@skolazadizajnkoze.edu.rs","(011)2632183","http://www.skolazadizajnkoze.edu.rs","7454783","101994730","1964-12-24","Средње стручне школе","Државно","9","0","0","178","121","0","0","0","41","28.013900","52","38.513900"
"141.","1475","Београд","Град Београд","Београд - Савски Венац","Београд (Савски Венац)","Школа за дизајн","Kрупањска 3","11000","direktor@dizajnerska.edu.rs","(011)3066408","http://skolazadizajn.com","7001860","100219883","1963-05-11","Средње стручне школе","Државно","20","0","0","422","357","1","0","0","61","53.091200","77","69.091200"
"142.","1476","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Дванаеста београдска гимназија","Војводе Степе 82","11000","bebaxii@gmail.com","(011)2460361","http://www.xiigimnazija.edu.rs","7017332","100378676","1863-09-01","Гимназије","Државно","33","0","0","927","542","0","0","0","75","66.217000","96","89.217000"
"143.","1477","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Осма београдска гимназија","Грчића Миленка 71","11050","osma_sekretarijat@yahoo.com","(011)2850779","http://www.osmagimnazija.edu.rs","17409077","102008758","2002-06-20","Гимназије","Државно","39","0","0","989","513","0","1","0","86","75.468900","110","99.968900"
"144.","1478","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Друга економска школа","Господара Вучића 50","11118","skola@drugaekonomska.edu.rs","(011)6440132","http://www.drugaekonomska.edu.rs","7049951","101740041","1939-05-25","Средње стручне школе","Државно","40","0","0","1207","694","0","3","0","82","78.761200","98","96.261200"
"145.","1479","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Школа за негу лепоте","Јована Суботића 2","11050","skolazanegulepote@gmail.com","(011)3447226","http://www.skolazanegulepote.edu.rs","7002971","101976930","1951-12-04","Средње стручне школе","Државно","40","0","0","937","782","5","24","0","97","87.084200","120","111.934200"
"146.","1480","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Геолошка и хидрометеоролошка школа Милутин Миланковић","Есад пашина 26","11010","ghmskola@mts.rs","3098084","http://www.ghmskola.edu.rs","7019939","100164338","1947-05-28","Средње стручне школе","Државно","20","0","0","504","301","1","0","0","47","37.816700","61","52.156700"
"147.","1481","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Школа за дизајн текстила","Војислава Илића 88","11000","skolazadizajn@eunet.rs","(011)2833693","http://skolazadizajntekstila.edu.rs","7454775","102008983","1961-09-01","Средње стручне школе","Државно","19","0","0","423","396","1","4","0","64","56.456500","85","76.956700"
"148.","1482","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Трећа београдска гимназија","Његошева 15","11000","trecabggim@gmail.com","3640942","http://www.trecagimnazija.edu.rs","7018860","100290203","1991-12-18","Гимназије","Државно","42","0","0","1244","750","0","0","0","83","80.010000","103","100.510000"
"149.","1483","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Четрнаеста београдска гимназија","Хаџи Проданова 5","11000","direktor@cetrnaestgim.edu.rs","(011)3086920","http://cetrnaestgim.edu.rs","7004320","100279813","1953-11-02","Гимназије","Државно","32","0","0","1026","623","0","1","0","72","63.083300","86","79.053300"
"150.","1484","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Техничка школа ГСП","Радослава Грујића 2","11000","skolagsp@gmail.com","(011)2458626","http://www.tehnickaskolagsp.edu.rs","7018878","100157484","1933-10-03","Средње стручне школе","Државно","46","46","0","1269","117","13","7","0","112","103.077700","140","134.077700"
"151.","1488","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Пета београдска гимназија","Илије Гарашанина 24","11000","jasna.garic@vbeogradska.edu.rs","(011)3236367","http://vbeogradska.edu.rs","7004508","101521096","1905-06-29","Гимназије","Државно","43","0","0","1249","806","0","0","0","87","84.671800","108","106.671800"
"152.","1489","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Средња техничка ПТТ школа","Здравка Челара 16","11000","srednjatehnicka@pttskola.edu.rs","(011)3290334","https://www.pttskola.edu.rs","17459139","102706478","2003-01-22","Средње стручне школе","Државно","26","0","0","708","246","2","3","0","68","60.233300","84","78.033300"
"153.","1490","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Пољопривредна школа са домом ученика ПК Београд","Панчевачки пут 39","11210","skolapkb@gmail.com","(011)2712715","http://www.skolapkb.edu.rs","7043309","100254975","1994-03-26","Средње стручне школе","Државно","23","0","0","510","270","1","7","0","63","55.874400","109","102.274400"
"154.","1491","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Железничка техничка школа","Здравка Челара 14","11120","skola@ztskola.edu.rs","(011)2762451","http://www.ztskola.edu.rs","7032463","100210499","1962-10-13","Средње стручне школе","Државно","27","0","0","623","161","0","0","0","82","54.634000","98","73.885000"
"155.","1492","Београд","Град Београд","Београд - Палилула","Београд (Палилула)","Електротехничка школа Раде Кончар","Браће Грим 32","11108","koncar@beotel.rs","2763062","http://www.koncar.edu.rs","7004494","101727430","1945-10-30","Средње стручне школе","Државно","44","0","0","1184","59","2","2","0","102","92.850000","127","118.750000"
"156.","1493","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Шеста београдска гимназија","Милана Ракића 33","11050","uprava@vigimnazija.edu.rs","(011)2412682","http://vigimnazija.edu.rs","7076843","100027643","1933-10-19","Гимназије","Државно","39","0","0","1140","651","1","2","0","85","76.349400","108","101.849400"
"157.","1494","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Медицинска школа","Вељка Дугошевића бб","11050","skola@medicinska-zvezdara.edu.rs","(011)2415455","http://www.medicinska-zvezdara.edu.rs","7014643","100029516","1921-05-25","Средње стручне школе","Државно","52","0","0","1594","1228","0","0","0","142","128.057800","172","162.557800"
"158.","1495","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Архитектонска техничка школа","Војислава Илића 78","11050","ats@ats.edu.rs","(011)2412127","http://www.ats.edu.rs","7078641","102079710","1991-06-13","Средње стручне школе","Државно","24","0","0","699","436","0","0","0","68","57.165000","88","79.165000"
"159.","1496","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Грађевинско техничка школа Бранко Жежељ","Хајдук Станкова 2","11000","direktor@gtskola.edu.rs","2404827","http://www.gtskola.edu.rs","7078625","100027008","1991-06-13","Средње стручне школе","Државно","16","0","0","344","107","3","1","0","44","34.959300","61","53.459300"
"160.","1497","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Грађевинска школа","Хајдук Станкoва 2","11000","gradjevinska.direktor@gmail.com","(011)2403525","http://gradjevinska.edu.rs","7078633","101150068","1991-06-13","Средње стручне школе","Државно","23","0","0","484","49","0","5","0","55","43.985300","71","60.985300"
"161.","1498","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Техноарт Београд - школа за машинство и уметничке занате","Светог Николе 39","11120","sekretar@tehnoart.rs","(011)2415556","http://www.tehnoart.rs","7014651","101715742","1962-05-31","Средње стручне школе","Државно","32","32","0","724","158","1","5","0","107","98.634300","131","123.184300"
"162.","1499","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Гимназија ""Патријарх Павле""","Гочка 40","11090","gimnazijapatrijarhpavle@gmail.com","(011)2322808","https://www.gimnazijapatrijarhpavle.edu.rs/","6009719","101992172","1992-10-10","Гимназије","Државно","38","0","0","1097","610","0","3","3","76","75.317700","95","95.317700"
"163.","1500","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Пета економска школа Раковица","Хасанагинице 8","11090","petaekonomska@gmail.com","(011)3511853","http://www.petaekonomska.edu.rs","7004028","101993296","1962-04-25","Средње стручне школе","Државно","16","0","0","480","287","5","1","0","40","32.122300","52","45.122300"
"164.","1501","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Машинска школа Радоје Дакић","Мишка Крањца 17","11090","direktormsrakovica@gmail.com","(011)3581200","http://www.msradojedakic.edu.rs","7004532","100167898","1963-03-28","Средње стручне школе","Државно","18","0","0","424","24","0","6","0","52","44.412300","73","66.712300"
"165.","1503","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Тринаеста београдска гимназија","Љешка 47","11030","trinaestbggim@orion.rs","(011)3555151","http://www.trinaestabggim.edu.rs","7014392","101011889","1941-09-01","Гимназије","Државно","36","0","0","1134","672","0","0","0","78","69.144600","95","89.644600"
"166.","1504","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Хемијско-прехрамбена технолошка школа","Љешка 82","11030","hptskola@gmail.com","(011)3555054","http://www.hptskola.edu.rs","7009275","101012781","1957-10-20","Средње стручне школе","Државно","36","0","0","857","522","0","7","0","93","85.173300","122","115.816600"
"167.","1505","Београд","Град Београд","Београд - Чукарица","Београд (Чукарица)","Техничка школа","Југословенска 4","11250","tehnickaskola@sezampro.rs","(011)6572175","http://tszeleznik.edu.rs","7009267","101013900","1948-07-27","Средње стручне школе","Државно","16","0","0","399","25","0","3","0","45","39.431500","65","59.071500"
"168.","1507","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Девета гимназија Михаило Петровић Алас","Булевар маршала Толбухина 41","11070","mpalas@ptt.rs","(011)2694133","http://devetagimnazija.edu.rs","7093314","100428013","1961-06-30","Гимназије","Државно","35","0","0","1041","577","0","0","0","78","69.206600","95","87.706600"
"169.","1508","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Десета гимназија Михајло Пупин","Антифашистичке борбе 1а","11070","direktor@xgimnazija.edu.rs","(011)3114142","http://xgimnazija.edu.rs","7047177","100228602","1933-04-06","Гимназије","Државно","36","0","0","1123","732","0","1","0","77","68.650000","93","85.150000"
"170.","1509","Београд","Град Београд","Београд - Земун","Београд (Земун)","Политехника - школа за нове технологије","Аутопут 18","11080","politehnikant@gmail.com","(011)2675663","https://politehnika-nt.edu.rs","17642197","104266332","1971-11-04","Средње стручне школе","Државно","28","0","0","652","123","1","2","0","73","63.566500","99","90.066500"
"171.","1510","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Средња туристичка школа","Отона Жупанчича 4","11070","direktor@turistickaskola.edu.rs","(011)2607286","http://www.turistickaskola.edu.rs","17642219","104266357","2006-03-01","Средње стручне школе","Државно","25","0","0","742","357","0","0","0","71","59.820000","89","79.820000"
"172.","1511","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Техничка школа Нови Београд","Омладинских бригада 25","11070","sekretarijat@tehnicka.edu.rs","(011)2163532","http://www.tehnicka.edu.rs","7093322","102216642","1975-06-28","Средње стручне школе","Државно","17","0","0","451","128","0","0","0","51","37.300000","76","64.300000"
"173.","1512","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Графичка школа","Отона Жупанчича 19","11070","grafickaskola@gmail.com","2604422","http://grafickaskola.rs","7047380","101995752","0000-00-00","Средње стручне школе","Државно","32","0","0","873","536","17","11","0","81","72.941400","105","102.271400"
"174.","1513","Београд","Град Београд","Београд - Земун","Београд (Земун)","Земунска гимназија","Градски парк 1","11080","office@zemunskagimnazija.edu.rs","(011)2616915","http://www.zemunskagimnazija.edu.rs","7021291","100010159","1858-10-15","Гимназије","Државно","35","0","0","1011","552","0","0","0","93","89.761200","115","111.761200"
"175.","1514","Београд","Град Београд","Београд - Земун","Београд (Земун)","Економска школа Нада Димић","22. октобра 19","11080","esnadadimic@yahoo.com","(011)2190386","http://www.esnadadimic.rs/kontakt","7021267","100015460","1883-11-03","Средње стручне школе","Државно","16","0","0","507","304","0","0","0","40","33.065000","52","45.065000"
"176.","1515","Београд","Град Београд","Београд - Земун","Београд (Земун)","Медицинска школа Надежда Петровић","Наде Димић 4","11080","skola@medicinskazemun.edu.rs","(011)2618058","http://www.medicinskazemun.edu.rs","7021275","101540883","1958-07-11","Средње стручне школе","Државно","31","0","0","895","743","4","1","0","93","81.821800","114","102.121800"
"177.","1516","Београд","Град Београд","Београд - Земун","Београд (Земун)","Електротехничка школа Земун","Наде Димић 4","11080","direktor@ets-zemun.edu.rs","3077449","http://www.ets-zemun.edu.rs","7026641","101540955","2003-06-10","Средње стручне школе","Државно","31","0","0","890","47","4","2","0","72","76.236400","95","98.236400"
"178.","1517","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Техничка школа Змај","Омладинских бригада 25","11070","tszmaj@mts.rs","(011)2600667","http://www.skolaZmaj.edu.rs","7026650","100102295","1946-12-13","Средње стручне школе","Државно","17","0","0","407","70","1","1","0","53","39.507800","72","58.507800"
"179.","1518","Београд","Град Београд","Београд - Земун","Београд (Земун)","Саобраћајно-техничка школа","Цара Душана 262","11080","direktor@saobteh.edu.rs","4000100","http://www.saobteh.edu.rs","17076469","100016067","2016-09-04","Средње стручне школе","Државно","49","0","0","1329","260","1","9","0","129","115.795200","170","160.596000"
"180.","1519","Београд","Град Београд","Београд - Земун","Београд (Земун)","Правно-биротехничка школа Димитрије Давидовић","Тошин бунар 17","11080","direktorpravna@gmail.com","(011)3164136","http://www.pravnobiroskola.edu.rs","7026684","100102287","1960-10-01","Средње стручне школе","Државно","20","0","0","606","381","0","8","0","52","40.594400","66","54.134400"
"181.","1521","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Гимназија","Краља Александра Обреновића 25","11400","gimnazijamladenovac@gmail.com","(011)8231366","http://gimnazijamladenovac.edu.rs","7524293","101477979","1990-10-01","Гимназије","Државно","23","0","0","633","354","0","0","0","53","43.462100","65","56.962100"
"182.","1522","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Техничка школа","Вука Караџића 75","11400","tsmladenovac@gmail.com","(011)8230143","http://www.tehnickaskola.edu.rs","7524285","101478980","1991-01-01","Средње стручне школе","Државно","29","0","0","678","121","1","36","0","81","67.119700","105","92.619700"
"183.","1523","Београд","Град Београд","Београд - Барајево","Барајево","Средња школа","Светосавска 4а","11460","skolabarajevo@yahoo.com","(011)8300206","http://srednjaskolabarajevo.edu.rs","7067623","101413717","1978-10-18","Средње стручне школе","Државно","21","0","0","522","282","1","12","0","63","49.165700","81","68.565700"
"184.","1524","Београд","Град Београд","Београд - Гроцка","Гроцка","Средња школа","Ужичка 2","11306","srednja.skola.grocka@gmail.com","(011)8500720","http://srednjaskolagrocka.edu.rs","7035195","101848107","1949-10-06","Средње стручне школе","Државно","26","0","0","646","404","3","10","0","60","50.971200","80","70.971200"
"185.","1525","Београд","Град Београд","Београд - Обреновац","Обреновац","Гимназија у Обреновцу","Милоша Обреновића 90","11500","gimnazijaobrenovac@gmail.com","(011)8721202","http://gimnazijauobrenovcu.edu.rs","7506597","101212895","1990-09-01","Гимназије","Државно","16","0","0","476","320","0","1","0","37","31.025000","49","45.025000"
"186.","1526","Београд","Град Београд","Београд - Обреновац","Обреновац","Техничка школа","Краља Петра I 12","11500","teh.skola.obr@gmail.com","(011)8721178","http://www.tsobrenovac.edu.rs","7094299","101214479","1985-05-30","Средње стручне школе","Државно","27","0","0","746","249","1","6","0","75","62.070600","94","82.730600"
"187.","1527","Београд","Град Београд","Београд - Обреновац","Обреновац","Пољопривредно-хемијска школа","Милоша Обреновића 90","11500","office@polj-hemskola.edu.rs","(011)8721375","http://www.polj-hemskola.edu.rs","7506589","101213357","1990-10-09","Средње стручне школе","Државно","22","0","0","567","374","0","11","0","63","53.070000","84","74.070000"
"188.","1528","Београд","Град Београд","Београд - Сопот","Сопот","Економско-трговинска школа","Кнеза Милоша 12","11450","ekonomska@sopot.edu.rs","(011)8251120","http://www.ekonomskasopot.edu.rs","7565631","100150743","1990-12-27","Средње стручне школе","Државно","19","0","0","544","389","0","1","0","50","41.088100","67","60.567200"
"189.","1529","Београд","Град Београд","Београд - Сопот","Сопот","Машинска школа Космај","Кнеза Милоша 12","11450","mskosmaj@bitinfo.co.rs","8251227","http://mskosmaj.edu.rs","7084005","100150735","1981-08-26","Средње стручне школе","Државно","4","4","0","103","1","1","5","0","19","7.618900","26","12.849800"
"190.","1530","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Гимназија","Доситеја Обрадовића 6","11550","gimnazija@gimnazijalazarevac.edu.rs","(011)8129480","http://www.gimnazijalazarevac.edu.rs","17079638","101132022","1995-05-09","Гимназије","Државно","20","0","0","530","360","1","0","0","49","38.034500","60","50.034500"
"191.","1531","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Техничка школа Колубара","Доситеја Обрадовића 6","11550","tskolubara@gmail.com","(011)8123098","http://tehnickaskolakolubara.edu.rs","7070365","101970205","1995-05-09","Средње стручне школе","Државно","37","0","0","1049","329","8","5","0","88","79.675000","113","108.675000"
"192.","1532","Крагујевац","Шумадијски управни округ","Аранђеловац","Аранђеловац","Гимназија Милош Савковић","Јосипа Грушовника 1","34300","gimnazijaarandjelovac@gmail.com","(034)711051","http://gimnazijamilossavkovic.nasaskola.rs","7351160","100901430","1920-08-21","Гимназије","Државно","22","0","0","578","317","1","1","0","50","43.732500","62","56.232500"
