"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"258.","291","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Книћанин","Стеван Книћанин","Жарка Зрењанина 4","23265","os.stevan.knicanin@gmail.com","(023)867001","http://osstevanknicanin.edu.rs","8220662","101763901","1977-12-29","Основна школа","Државно","9","0","0","95","50","0","1","0","20","10.622100","32","18.972100"
"259.","292","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Фаркаждин","Доситеј Обрадовић","Маршала Тита 2","23264","osfarkazdin@beotel.net","(023)3868010","http://osfarkazdin.edu.rs","8220654","101763848","1977-12-29","Основна школа","Државно","9","0","0","108","49","1","14","0","20","10.822100","31","19.322100"
"260.","293","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Лукићево","Бранко Ћопић","Бранка Радичевића 8","23261","oslukicevo@gmail.com","23875017","http://","8617350","100903642","1977-12-29","Основна школа","Државно","10","0","0","107","42","1","0","0","22","11.972100","33","22.140900"
"261.","294","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Томашевац","Младост","Трг слободе 8","23262","mladost@ostomasevac.edu.rs","(023)871005","http://www.ostomasevac.edu.rs","8619824","101763725","1995-11-15","Основна школа","Државно","8","0","0","70","32","4","1","0","20","11.222100","30","21.222100"
"262.","295","Зрењанин","Средњобанатски управни округ","Нова Црња","Александрово","Бранко Радичевић","Николе Тесле 29","23217","osbraleksandrovo@gmail.com","(023)817156","http://sajt.com","8120722","101595715","1990-07-10","Основна школа","Државно","8","0","0","150","67","19","2","0","18","10.972100","31","23.472100"
"263.","296","Зрењанин","Средњобанатски управни округ","Нова Црња","Српска Црња","Ђура Јакшић","Краља Александра 63","23220","oskola@mts.rs","(023)811007","http://www.osdjurajaksicsc.edu.rs","8120692","101596172","1990-07-10","Основна школа","Државно","16","0","0","251","132","15","6","0","28","20.127700","45","39.827700"
"264.","297","Зрењанин","Средњобанатски управни округ","Нова Црња","Нова Црња","Петефи Шандор","JНА 113","23218","petefinc@gmail.com","(023)815064","http://www.sajt.com","8120714","101596507","1990-07-10","Основна школа","Државно","14","0","0","106","46","3","2","0","24","16.533100","39","32.533100"
"265.","298","Зрењанин","Средњобанатски управни округ","Нова Црња","Радојево","Станко Крстин","Карађорђева 8","23221","skrstin@sezampro.rs","(023)819002","http://www.osskrstin.edu.rs","8120684","101595372","1994-08-26","Основна школа","Државно","9","0","0","78","35","16","9","0","19","10.822100","30","20.904000"
"266.","299","Зрењанин","Средњобанатски управни округ","Нова Црња","Војвода Степа","4. октобар","ЈНА 2","23219","os4oktobar@gmail.com","(023)818082","NULL","8120706","101595895","1967-07-11","Основна школа","Државно","9","0","0","75","35","1","6","0","24","11.422100","34","21.402100"
"267.","300","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Нови Бечеј","Јосиф Маринковић","Јосифа Маринковића 79","23272","zocaosjmnb@yahoo.com","(023)771041","https://osjosifmarinkovic.wordpress.com","8020264","102109753","1982-05-14","Основна школа","Државно","25","0","0","414","212","13","32","0","37","31.963800","50","46.783800"
"268.","301","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Кумане","Милан Станчић Уча","Трг слободе 4","23271","osmskumane@gmail.com","(023)786783","http://www.oskumane.edu.rs","8020230","101430934","1965-12-11","Основна школа","Државно","16","0","0","229","95","11","18","0","26","21.293200","39","32.793200"
"269.","302","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Нови Бечеј","Милоје Чиплић","Маршала Тита 6","23272","direktor@osmilojeciplic.edu.rs","(023)771109","http://www.osmilojeciplic.edu.rs","8020256","102109585","1963-07-30","Основна школа","Државно","27","0","0","495","220","8","15","0","49","39.966500","70","60.466500"
"270.","303","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Ново Милошево","Др Ђорђе Јоановић","М. Тита 1","23273","osnmilosevo@gmail.com","(023)781013","http://skola.novomilosevo.com/","8020248","101433367","1974-09-04","Основна школа","Државно","29","0","0","492","235","3","40","0","49","38.752600","67","56.422600"
"271.","304","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Бочар","Доситеј Обрадовић","Трг ослобођења 4","23274","skolabocar123@gmail.com","(023)789209","http://osdositejobradovicbocar.nasaskola.rs","8020221","101845549","1982-05-17","Основна школа","Државно","8","0","0","97","51","2","0","0","19","10.472100","28","17.722100"
"272.","305","Зрењанин","Средњобанатски управни округ","Сечањ","Сечањ","Алекса Шантић","Вожда Карађорђа 77","23240","ossecanj@beotel.net","(023)3841196","NULL","8122679","101356027","2002-12-03","Основна школа","Државно","8","0","0","101","59","2","1","0","23","11.972200","35","21.472200"
"273.","306","Зрењанин","Средњобанатски управни округ","Сечањ","Јарковац","Вељко Ђуричин","Трг др Станислава Букурова 12","23250","osjarkovac@gmail.com","(023)857009","http://sajt.com","8122652","101356035","1978-12-09","Основна школа","Државно","10","0","0","136","73","10","3","0","24","14.272100","37","25.272100"
"274.","307","Зрењанин","Средњобанатски управни округ","Сечањ","Бока","Жарко Зрењанин","Маршала Тита 33","23252","osbokazarkozrenjanin@gmail.com","(023)846604","http://www.zarkozrenjaninboka.edu.rs","8122628","101356043","2002-02-15","Основна школа","Државно","9","0","0","106","44","1","4","0","21","11.922100","29","19.422100"
"275.","308","Зрењанин","Средњобанатски управни округ","Сечањ","Јаша Томић","Стеван Алексић","Маршала Тита 99","23230","jtskola@gmail.com","(023)848023","http://www.skola.nema.sajt.rs","8122610","102003368","2002-12-28","Основна школа","Државно","8","0","0","118","56","1","1","0","22","12.972100","35","23.312100"
"276.","309","Зрењанин","Средњобанатски управни округ","Сечањ","Крајишник","Славко Родић","Жарка Зрењанина 17","23231","srodic@sezampro.rs","(023)854014","http://osslavkorodickrajisnik.wordpress.com","8122695","102254486","1978-12-09","Основна школа","Државно","8","0","0","92","32","2","1","0","21","11.872100","36","23.372100"
"277.","310","Зрењанин","Средњобанатски управни округ","Сечањ","Сутјеска","Иво Лола Рибар","Бориса Кидрича 10","23244","ilribar@beotel.rs","(023)851002","http://sajt.com","8122687","101356078","1878-12-09","Основна школа","Државно","9","0","0","72","31","6","2","0","25","13.522100","32","21.022100"
"278.","311","Зрењанин","Средњобанатски управни округ","Сечањ","Неузина","Браћа Стефановић","Ђуре Рашкова 70a","23245","osneuzina@gmail.com","(023)852203","NULL","8122644","101356060","1847-09-01","Основна школа","Државно","13","0","0","143","78","7","11","0","27","15.504400","36","23.814400"
"279.","312","Зрењанин","Средњобанатски управни округ","Сечањ","Конак","Вук Караџић","Маршала Тита 14","23253","osnovnaskola.vuk.karadzickonak@gmail.com","(023)3856006","http://nemasajt.com","8122636","101356051","1959-09-01","Основна школа","Државно","6","0","0","34","19","0","4","0","26","10.622100","36","18.622100"
"280.","314","Зрењанин","Јужнобанатски управни округ","Алибунар","Алибунар","Братство јединство","Вука Караџића 4","26310","osalibunar@gmail.com","(013)2100196","http://www.osbratstvoijedinstvo.co.rs","8031975","101084899","1953-09-01","Основна школа","Државно","25","0","0","287","128","22","6","0","51","37.027100","65","51.127100"
"281.","315","Зрењанин","Јужнобанатски управни округ","Алибунар","Банатски Карловац","Душан Јерковић","Жарка Зрењанина 36","26320","osd.jerkovic@gmail.com","(013)651227","http://osdusanjerkovic.nasaskola.rs","8031908","101084920","1956-11-29","Основна школа","Државно","16","0","0","289","138","0","3","0","28","23.533100","42","37.533100"
"282.","316","Зрењанин","Јужнобанатски управни округ","Алибунар","Николинци","2. октобар","Главна 42","26322","osnikolinci@gmail.com","(013)655135","http://www.os2oktobar.nasaskola.rs","8031932","101083769","1987-09-24","Основна школа","Државно","8","0","0","106","52","6","3","0","24","12.083200","30","19.083200"
"283.","317","Зрењанин","Јужнобанатски управни округ","Алибунар","Иланџа","Милош Црњански","Милоша Црњанског 88","26352","osilandza@gmail.com","(013)0659168","http://osmiloscrnjanski.nasaskola.rs","8032017","101084911","1980-09-01","Основна школа","Државно","9","0","0","101","57","14","9","0","20","11.972100","34","22.972100"
"284.","318","Зрењанин","Јужнобанатски управни округ","Алибунар","Владимировац","1. мај","Цара Лазара 47","26315","prvimaj@madnet.rs","(013)643003","https://www.osprvimajvladimirovac.rs","8031894","101083752","1968-09-01","Основна школа","Државно","22","0","0","274","131","12","2","0","46","32.061000","60","47.561000"
"285.","319","Зрењанин","Јужнобанатски управни округ","Алибунар","Добрица","Сава Вељковић","Светог Саве 408","26354","1osveljkovic@gmail.com","(013)658009","http://ossavaveljkovicdobrica.nasaskola.rs","8031886","101084874","1967-09-01","Основна школа","Државно","8","0","0","104","49","10","5","0","18","10.721200","28","18.221200"
"286.","320","Зрењанин","Јужнобанатски управни округ","Алибунар","Јаношик","Томаш Гариг Масарик","Едварда Кардеља 59","26362","osjanosik@mts.rs","(013)647001","http://osmasarik.nasaskola.rs","8031959","101084882","1991-02-25","Основна школа","Државно","6","0","0","42","17","3","3","0","13","9.367700","20","15.867700"
"287.","321","Зрењанин","Јужнобанатски управни округ","Алибунар","Локве","3. октобар","Лењинова 95","26361","os_lokve@yahoo.com","(013)646155","http://os3oktobarlokve.nasaskola.rs","8031967","101084866","1970-10-03","Основна школа","Државно","8","0","0","112","49","10","3","0","18","11.882100","26","19.382100"
"288.","322","Зрењанин","Јужнобанатски управни округ","Бела Црква","Бела Црква","Доситеј Обрадовић","Милетићева 6","26340","osdobcrkva@mts.rs","(013)851258","http://www.osdositejobradovic.nasaskola.rs","8031312","100865998","1956-08-21","Основна школа","Државно","17","0","0","246","119","9","17","0","29","23.160000","42","35.160000"
"289.","323","Зрењанин","Јужнобанатски управни округ","Бела Црква","Бела Црква","Жарко Зрењанин","Жарка Зрењанина 13","26340","oszzbcrkva@mts.rs","(013)851022","https://zzrenjaninbc.wordpress.com","8031304","100868484","1920-09-01","Основна школа","Државно","18","0","0","347","161","5","16","0","37","26.699700","48","37.699700"
"290.","324","Зрењанин","Јужнобанатски управни округ","Бела Црква","Јасеново","Ђорђе Малетић","Маршала Тита 1","26346","skolajas@donet.rs","(013)855109","http://osdjordjemaleticjasenovo.nasaskola.rs","8031231","100867897","1974-12-08","Основна школа","Државно","16","0","0","174","80","2","17","0","31","22.140000","43","34.640000"
"291.","325","Зрењанин","Јужнобанатски управни округ","Бела Црква","Кусић","Мара Јанковић","Трг палих бораца 1","26349","oskusic@neobee.net","13859036","http://skolakusic.edu.rs","8031355","100865221","1990-12-31","Основна школа","Државно","8","0","0","98","42","5","0","0","19","11.027700","26","18.527700"
"292.","326","Зрењанин","Јужнобанатски управни округ","Бела Црква","Врачев Гај","Марко Стојановић","Марка Стојановића 222","26348","skolavracevgaj@gmail.com","(013)856197","https://osvracevgaj.wordpress.com","8031240","100865842","1890-09-02","Основна школа","Државно","19","0","0","197","97","16","28","0","36","25.107700","49","39.037700"
"293.","327","Зрењанин","Јужнобанатски управни округ","Бела Црква","Гребенац","Михаил Садовеану","Васка Попе 60","26347","osgrebenac@gmail.com","(013)857105","http://skolagrebenac.edu.rs","8031339","100865352","0000-00-00","Основна школа","Државно","8","0","0","42","19","1","10","0","19","11.728800","27","18.728800"
"294.","328","Зрењанин","Јужнобанатски управни округ","Бела Црква","Крушчица","Сава Мунћан","Саве Мунћана 45","26340","savamuncanos@gmail.com","(013)858015","http://ossavamuncan.weebly.com","8031347","100868845","1990-12-31","Основна школа","Државно","8","0","0","59","26","1","7","0","22","12.966500","27","18.466500"
"295.","329","Зрењанин","Јужнобанатски управни округ","Вршац","Уљма","Бранко Радичевић","Трг ослобођења 3","26330","osuljma@gmail.com","(013)898170","http://www.osuljma.znanje.info","8010625","102083942","1963-07-01","Основна школа","Државно","28","0","0","414","206","17","4","0","41","32.961100","62","53.461100"
"296.","330","Зрењанин","Јужнобанатски управни округ","Вршац","Велико Средиште","Бранко Радичевић","Стеријина 5","26334","velikosredisteskola@gmail.com","(013)892133","http://branko-radicevic.edu.rs","8010641","102084197","1960-06-11","Основна школа","Државно","10","0","0","110","52","0","0","0","20","12.072100","32","22.322100"
"297.","331","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Вук Караџић","Дворска 17-19","26300","vuk.karadzic17@gmail.com","(013)831701","http://osvukkaradzicvs.rs","8010692","100515623","1950-08-22","Основна школа","Државно","26","0","0","634","311","14","9","0","50","36.388900","65","50.388900"
"298.","332","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Јован Стерија Поповић","Жарка Зрењанина 114","26300","osjspopovic@gmail.com","(013)834573","http://www.jovansterijapopovic.edu.rs","8010668","102083696","1950-08-22","Основна школа","Државно","32","0","0","740","337","9","4","1","58","45.922000","76","62.922000"
"299.","333","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Олга Петров Радишић","Вука Караџића 8","26300","osolgapetrov@gmail.com","(013)801905","http://www.olgapetrovradisic.edu.rs","8010676","100514920","1955-08-15","Основна школа","Државно","29","0","0","424","207","17","10","0","57","39.727600","77","57.147600"
"300.","334","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Паја Јовановић","Школски трг 3","26300","ospaja@gmail.com","(013)839853","http://pajajovanovic.edu.rs","8010684","102084654","1960-09-16","Основна школа","Државно","21","0","0","453","207","7","1","0","37","28.166600","51","41.666600"
"301.","335","Зрењанин","Јужнобанатски управни округ","Вршац","Куштиљ","Кориолан Добан","Вршачка бб","26336","kdoban@gmail.com","(013)883430","http://www.oskustilj.edu.rs","8010633","102270058","1963-09-17","Основна школа","Државно","10","0","0","54","31","1","0","0","19","11.683200","28","19.993200"
"302.","336","Зрењанин","Јужнобанатски управни округ","Вршац","Павлиш","Ђура Јакшић","Жарка Зрењанина 79","26333","djurajaksicpavlis@yahoo.com","(013)2891130","http://www.osdjurajaksicpavlis.edu.rs","8010595","102084105","1963-09-13","Основна школа","Државно","11","0","0","199","105","1","5","0","25","14.410900","40","28.910900"
"303.","337","Зрењанин","Јужнобанатски управни округ","Вршац","Гудурица","Моша Пијаде","Трг ослобођења 2","26335","osmosapijade.gudurica@gmail.com","(013)881012","http://www.osgudurica.org","8010650","100914119","1963-09-11","Основна школа","Државно","10","0","0","84","41","2","1","0","26","13.122100","34","21.622100"
"304.","338","Зрењанин","Јужнобанатски управни округ","Вршац","Избиште","Жарко Зрењанин","Исе Јовановића 5","26343","oszzizbiste@gmail.com","(013)893050","http://www.oszzizbiste.edu.rs","8010609","100913915","1963-07-01","Основна школа","Државно","20","0","0","285","132","20","13","0","32","23.894200","46","38.949800"
"305.","339","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Младост","Омладински трг бб","26300","osnovnaskola.mladost@gmail.com","(013)830721","http://osmladostvrsac.nasaskola.rs","8620504","100915927","1996-01-05","Основна школа","Државно","24","0","0","520","270","9","4","0","45","34.666500","60","48.666500"
"306.","340","Зрењанин","Јужнобанатски управни округ","Ковачица","Самош","Лукреција Анкуцић","Маршала Тита 27","26350","ossamos@open.telekom.rs","(013)675108","http://oslukrecijaankucicsamos.nasaskola.rs","8029237","100873779","1960-01-27","Основна школа","Државно","7","0","0","59","23","0","3","0","20","10.722100","29","17.602100"
"307.","341","Зрењанин","Јужнобанатски управни округ","Ковачица","Падина","Маршал Тито","Трг ослобођења 22","26215","ospadina@mts.rs","(013)667118","http://ospadina.edu.rs","8029229","100873607","1990-08-30","Основна школа","Државно","18","0","0","406","202","4","16","0","35","28.101100","57","48.901100"
"308.","342","Зрењанин","Јужнобанатски управни округ","Ковачица","Идвор","Михајло Пупин","Михајла Пупина 51","26207","skola.idvor@gmail.com","(013)676016","http://www.osmpupin.weebly.com","8029199","100874064","1963-11-25","Основна школа","Државно","8","0","0","71","32","0","1","0","18","11.822100","24","18.822100"
"309.","343","Зрењанин","Јужнобанатски управни округ","Ковачица","Ковачица","Млада поколења","Маршала Тита 33","26210","kovacicaskola@gmail.com","(013)661132","http://www.oskovacica.edu-rs","8029202","101009568","1816-05-15","Основна школа","Државно","27","0","0","427","205","6","13","2","49","38.888600","67","58.318600"
"310.","344","Зрењанин","Јужнобанатски управни округ","Ковачица","Дебељача","Моша Пијаде","Серво Михаља 32","26214","osdeb3@panet.rs","(013)665448","http://osmosapijadedebeljaca.nasaskola.rs","8029172","101009509","1950-08-02","Основна школа","Државно","23","0","0","336","161","8","11","0","46","34.077600","61","49.077600"
"311.","345","Зрењанин","Јужнобанатски управни округ","Ковачица","Уздин","Свети Георгије","Маршала Тита 143","26216","osuzdin@gmail.com","(013)673003","http://ossvetigeorgijeuzdin.nasaskola.rs","8029245","100874177","1963-11-26","Основна школа","Државно","16","0","0","138","71","0","10","0","34","25.100800","44","38.100800"
"312.","346","Зрењанин","Јужнобанатски управни округ","Ковачица","Црепаја","Сава Жебељан","Маршала Тита 8","26213","oscrepaja@ptt.rs","(013)671011","http://ossavazebeljan.edu.rs","8029164","100873682","1863-11-25","Основна школа","Државно","16","0","0","308","164","1","1","0","28","22.894200","41","35.894200"
"313.","347","Зрењанин","Јужнобанатски управни округ","Ковин","Баваниште","Бора Радић","Вукице Митровић 1","26222","osboraradic@gmail.com","(013)751511","http://www.osboraradic.edu.rs","8012148","101406239","1990-06-29","Основна школа","Државно","23","0","0","441","219","44","24","0","39","33.766400","55","51.766400"
"314.","348","Зрењанин","Јужнобанатски управни округ","Ковин","Ковин","Ђура Јакшић","ЈНА 34","26220","oskovin@gmail.com","(013)741081","http://www.os-djurajaksic.edu.rs","8012504","101408412","1990-06-29","Основна школа","Државно","19","0","0","397","196","21","11","4","37","29.227700","53","44.027700"
"315.","349","Зрењанин","Јужнобанатски управни округ","Ковин","Скореновац","Жарко Зрењанин","Братства и јединства 49","26228","osskorenovac@mts.rs","(013)764015","http://www.osskorenovac.edu.rs","8012172","101408638","2016-08-29","Основна школа","Државно","7","0","0","63","26","0","0","0","16","10.483100","25","19.483100"
"316.","350","Зрењанин","Јужнобанатски управни округ","Ковин","Ковин","Јован Јовановић Змај","Трг Жарка Зрењанина 7","26220","zmajkovin@gmail.com","(013)741052","http://zmajkovin.edu.rs","8012199","101409077","1990-06-29","Основна школа","Државно","17","0","0","284","142","4","7","0","30","23.594000","43","35.594000"
"317.","351","Зрењанин","Јужнобанатски управни округ","Ковин","Гај","Миша Стојковић","Мише Стојковића 204","26223","оsgaj@mts.rs","13755015","http://osmisastojkovic.kovin.info","8012156","101406247","1950-09-01","Основна школа","Државно","12","0","0","218","114","14","6","0","23","18.027500","36","29.987500"
"318.","352","Зрењанин","Јужнобанатски управни округ","Ковин","Делиблато","Паја Маргановић","Маршала Тита 89","26225","osdeliblato@mts.rs","(013)765280","http://www.ospajamarganovic.edu.rs","8012512","101406773","1950-09-01","Основна школа","Државно","11","0","0","178","76","9","9","0","25","16.664300","36","27.164300"
"319.","353","Зрењанин","Јужнобанатски управни округ","Ковин","Мраморак","Сава Максимовић","Жарка Зрењанина 57","26226","skolamramorak@gmail.com","(013)2753203","http://www.skolamramorak.edu.rs","8012539","101408429","1990-06-29","Основна школа","Државно","8","0","0","146","78","11","3","0","24","13.322000","33","21.822000"
"320.","354","Зрењанин","Јужнобанатски управни округ","Ковин","Дубовац","Предраг Кожић","Цара Лазара 94","26224","osdubovac@gmail.com","(013)767081","https://ospredragkozic.webs.com","8012482","101407565","1990-06-29","Основна школа","Државно","8","0","0","95","49","10","4","1","22","11.122100","30","19.122100"
"321.","355","Зрењанин","Јужнобанатски управни округ","Ковин","Плочица","Ђура Филиповић","Светог Саве 1","26229","skolaplocica@gmail.com","(013)757011","http://www.osplocica.edu.rs","8012164","101408496","1990-06-29","Основна школа","Државно","9","0","0","123","54","0","3","0","21","13.072000","32","21.072000"
"322.","356","Зрењанин","Јужнобанатски управни округ","Опово","Опово","Доситеј Обрадовић","Братства јединства 14","26204","osdobradovic.opovo@gmail.com","(013)681512","http://www.dositejopovo.edu.rs","8029024","101558980","1994-05-23","Основна школа","Државно","43","0","0","831","429","6","7","0","69","61.899800","102","95.449800"
"323.","357","Зрењанин","Јужнобанатски управни округ","Панчево - град","Долово","Аксентије Максимовић","Аксентија Максимовића 1","26227","osdolovo@madnet.rs","(013)2634207","http://www.skoladolovo.edu.rs","8006288","101980137","1950-12-28","Основна школа","Државно","24","0","0","493","223","13","16","0","39","30.033200","61","51.033200"
"324.","358","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Борисав Петров Браца","Жарка Зрењанина 179","26000","osbraca@mts.rs","2367007","http://www.osborisavpetrovbraca.edu.rs","8057184","101047470","1961-03-06","Основна школа","Државно","8","0","0","111","56","21","6","0","23","11.711800","35","21.241800"
"325.","359","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Бранко Радичевић","Владимира Жестића 21","26000","os.bradicevic@mts.rs","(013)352663","http://osbradicevicpancevo.edu.rs","8006334","101979954","1950-09-01","Основна школа","Државно","25","0","0","621","309","4","5","0","45","37.231100","62","53.731100"
"326.","360","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Братство јединиство","Петефи Шандора 33-35","26000","osbratstvo.pa@gmail.com","(013)348080","http://www.osbratstvo.edu.rs","8057265","101054250","1950-08-22","Основна школа","Државно","17","0","0","356","179","12","7","0","40","24.605600","52","35.905600"
"327.","361","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Васа Живковић","Карађорђева 87","26101","osvzadmin@panet.rs","(013)348462","http://vasazivkovic.edu.rs","8006342","101052065","1950-09-01","Основна школа","Државно","28","0","0","687","308","2","4","0","45","39.649500","60","54.149500"
"328.","362","Зрењанин","Јужнобанатски управни округ","Панчево - град","Старчево","Вук Стефановић Караџић","Иве Лоле Рибара 2","26232","osvskaradzic@madnet.rs","(013)631007","http://www.osvkaradzic.edu.rs","8006393","101052944","1963-06-29","Основна школа","Државно","25","0","0","589","303","7","6","0","44","32.516200","71","59.516200"
"329.","363","Зрењанин","Јужнобанатски управни округ","Панчево - град","Јабука","Гоце Делчев","Трг Бориса Кидрича 10","26201","osjabuka@mts.rs","(013)2624059","http://osjabuka.edu.rs","8006300","101049924","1945-09-01","Основна школа","Државно","27","0","0","561","268","7","7","0","42","31.216200","68","56.716200"
"330.","364","Зрењанин","Јужнобанатски управни округ","Панчево - град","Омољица","Доситеј Обрадовић","Трг Светог Саве 3","26230","osdo.sekretar@gmail.com","(013)617014","http://osobradovic.weebly.com","8006326","101050256","1966-03-25","Основна школа","Државно","23","0","0","548","256","11","7","0","34","29.511100","58","53.511100"
"331.","365","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Ђура Јакшић","Лава Толстоја 30","26000","osdjurajaksicpa@gmail.com","(013)344998","http://osdjjaksic.edu.rs","8161984","101052057","1952-08-14","Основна школа","Државно","19","0","0","403","187","17","8","0","38","26.450000","49","37.950000"
"332.","366","Зрењанин","Јужнобанатски управни округ","Панчево - град","Качарево","Жарко Зрењанин","Херцеговачка 12","26212","oskacarevo@madnet.rs","(013)601510","http://zzrenjanin.edu.rs/kacarevo","8006318","101049869","1946-09-01","Основна школа","Државно","24","0","0","527","271","6","6","0","39","31.099900","67","58.099900"
"333.","367","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Исидора Секулић","Сердар Јанка Вукотића 7","26000","osisekulic@gmail.com","(013)2315965","http://www.isidorasekulic.edu.rs","8132046","101054233","1979-11-12","Основна школа","Државно","23","0","0","548","256","4","3","0","39","33.183300","52","46.183300"
"334.","368","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Јован Јовановић Змај","Змај Јове Јовановића 3","26000","skola@zmajpancevo.edu.rs","(013)346023","http://www.zmajpancevo.edu.rs","8006369","101829268","1950-08-22","Основна школа","Државно","26","0","0","622","319","2","3","1","42","36.766400","61","54.766400"
"335.","369","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Мирослав Антић Мика","Душана Петровића Шанета 11","26000","osantic@panet.rs","(013)316449","http://www.osmantic.edu.rs","8236020","101049932","1991-03-14","Основна школа","Државно","35","0","0","862","420","19","12","0","63","52.608300","85","74.038300"
"336.","370","Зрењанин","Јужнобанатски управни округ","Панчево - град","Иваново","Моша Пијаде","29. Новембра 56-58","26233","osivanovo@mts.rs","(013)629106","http://osmosapijadeivanovo.weebly.com","8006296","101049877","1965-02-26","Основна школа","Државно","10","0","0","106","47","2","3","0","24","13.372100","35","23.872100"
"337.","371","Зрењанин","Јужнобанатски управни округ","Панчево - град","Банатски Брестовац","Олга Петров","Олге Петров 1","26234","osopetrovbb@gmail.com","(013)626121","http://olgapetrov.weebly.com","8006261","101049885","1951-08-30","Основна школа","Државно","17","0","0","280","132","2","5","0","30","19.977500","45","32.777500"
"338.","372","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Свети Сава","Војвођанска бб","26000","svsavapancevo@sbb.rs","(013)318859","http://www.svetisavapancevo.edu.rs","8271178","101054942","1992-01-27","Основна школа","Државно","34","0","0","826","381","21","3","2","54","47.672200","74","68.622200"
"339.","373","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Стевица Јовановић","Браће Јовановића 75","26000","osstevica@mts.rs","(013)319166","http://www.osstevica.edu.rs","8006377","101820445","1964-02-01","Основна школа","Државно","31","0","0","793","370","2","3","0","54","42.811000","70","58.311000"
"340.","374","Зрењанин","Јужнобанатски управни округ","Панчево - град","Глогоњ","4. октобар","Трг маршала Тита 8","26202","skolaglogonj@gmail.com","(013)627030","http://www.4oktobar.edu.rs","8057079","101047488","1964-06-20","Основна школа","Државно","16","0","0","250","120","6","6","0","27","18.977900","41","33.877900"
"341.","375","Зрењанин","Јужнобанатски управни округ","Пландиште","Пландиште","Доситеј Обрадовић","Војводе Путника 60","26360","skolaplandiste@gmail.com","(013)861062","http://www.dositejobradovicplandiste.edu.rs","8118507","101301135","1990-06-29","Основна школа","Државно","34","0","0","404","213","21","3","0","65","51.390800","91","78.890800"
"342.","376","Зрењанин","Јужнобанатски управни округ","Пландиште","Велика Греда","Јован Стерија Поповић","Маршала Тита 116","26366","osvgreda@mts.rs","(013)865003","http://osjovansterijapopovic.nasaskola.rs","8610266","100415852","1995-08-26","Основна школа","Државно","10","0","0","102","52","5","5","0","24","14.372100","37","24.372100"
"343.","377","Зрењанин","Јужнобанатски управни округ","Пландиште","Хајдучица","Јован Јовановић Змај","Валентова 3","26370","os.hajducica@mts.rs","(013)864223","http://www.jjzmaj-ha.edu.rs","8617635","101237952","1995-12-20","Основна школа","Државно","11","0","0","109","50","5","1","0","27","15.574600","37","26.074600"
"344.","378","Сомбор","Севернобачки управни округ","Бачка Топола","Бајша","Братство јединство","Закина 5","24331","skbajsa@stcable.net","(024)721011","http://www.osbajsa.edu.rs","8057214","101580916","1966-09-01","Основна школа","Државно","16","0","0","152","82","2","4","1","30","22.855200","41","32.915200"
"345.","379","Сомбор","Севернобачки управни округ","Бачка Топола","Гунарош","Дожа Ђерђ","Маршала Тита 29","24312","osdoza.gunaros@gmail.com","(024)4726006","http://www.osdoza.edu.rs","8032939","101444133","1966-11-17","Основна школа","Државно","8","0","0","109","48","5","0","2","19","11.988800","29","21.144400"
"346.","380","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Чаки Лајош","Светосавска 9","24300","caki@stcable.net","(024)715443","http://www.caki.edu.rs","8061807","101581486","1945-09-01","Основна школа","Државно","32","0","0","568","254","12","17","2","65","51.188700","88","75.188700"
